script,Scheduled languages
Devanagari[d],"Bodo, Dogri, Hindi, Konkani[e], Maithili, Marathi, Nepali, Sanskrit, Sindhi[f]
"
Eastern Nagari,"Assamese, Bengali
"
Gujarati,"Gujarati
"
Gurmukhi,"Punjabi
"
Kannada[g],"Kannada
"
Malayalam,"Malayalam
"
Meitei[h],"Manipuri
"
Odia,"Oriya
"
Ol Chiki,"Santali
"
Perso-Arabic script,"Kashmiri[i], Sindhi, Urdu
"
Tamil,"Tamil
"
Telugu[g],"Telugu
"
